"country"	"Time"	"category_1"	"category_2"	"category_3"	"category_4"	"value"
"belgium"	"2013-01-01"	"Total"	"Residents"	"OMFIs"	""	"103447"
"belgium"	"2013-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"76035"
"belgium"	"2013-01-01"	"Total"	"Residents"	"Other residents"	""	"22860"
"belgium"	"2013-01-01"	"Total"	"Non-residents"	""	""	"203771"
"belgium"	"2014-01-01"	"Total"	"Residents"	"Central bank"	""	"7059"
"belgium"	"2014-01-01"	"Total"	"Residents"	"OMFIs"	""	"91137"
"belgium"	"2014-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"77634"
"belgium"	"2014-01-01"	"Total"	"Residents"	"Other residents"	""	"21213"
"belgium"	"2014-01-01"	"Total"	"Non-residents"	""	""	"234116"
"belgium"	"2015-01-01"	"Total"	"Residents"	"Central bank"	""	"19161"
"belgium"	"2015-01-01"	"Total"	"Residents"	"OMFIs"	""	"88138"
"belgium"	"2015-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"75230"
"belgium"	"2015-01-01"	"Total"	"Residents"	"Other residents"	""	"21497"
"belgium"	"2015-01-01"	"Total"	"Non-residents"	""	""	"234207"
"belgium"	"2016-01-01"	"Total"	"Residents"	"Central bank"	""	"37252"
"belgium"	"2016-01-01"	"Total"	"Residents"	"OMFIs"	""	"82127"
"belgium"	"2016-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"70726"
"belgium"	"2016-01-01"	"Total"	"Residents"	"Other residents"	""	"19076"
"belgium"	"2016-01-01"	"Total"	"Non-residents"	""	""	"242147"
"belgium"	"2017-01-01"	"Total"	"Residents"	"Central bank"	""	"55468"
"belgium"	"2017-01-01"	"Total"	"Residents"	"OMFIs"	""	"76121"
"belgium"	"2017-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"69445"
"belgium"	"2017-01-01"	"Total"	"Residents"	"Other residents"	""	"17718"
"belgium"	"2017-01-01"	"Total"	"Non-residents"	""	""	"235076"
"belgium"	"2018-01-01"	"Total"	"Residents"	"Central bank"	""	"59848"
"belgium"	"2018-01-01"	"Total"	"Residents"	"OMFIs"	""	"71650"
"belgium"	"2018-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"66560"
"belgium"	"2018-01-01"	"Total"	"Residents"	"Other residents"	""	"17519"
"belgium"	"2018-01-01"	"Total"	"Non-residents"	""	""	"243484"
"belgium"	"2019-01-01"	"Total"	"Residents"	"Central bank"	""	"59922"
"belgium"	"2019-01-01"	"Total"	"Residents"	"OMFIs"	""	"64496"
"belgium"	"2019-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"65638"
"belgium"	"2019-01-01"	"Total"	"Residents"	"Other residents"	""	"16823"
"belgium"	"2019-01-01"	"Total"	"Non-residents"	""	""	"260280"
"finnland"	"1997-10-01"	"Total"	"Residents"	"Non-financial corporations"	""	"3327"
"finnland"	"1997-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1997-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"11238"
"finnland"	"1997-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"0"
"finnland"	"1997-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"4999"
"finnland"	"1997-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1389"
"finnland"	"1997-10-01"	"Total"	"Residents"	"General Government"	""	"19095"
"finnland"	"1997-10-01"	"Total"	"Residents"	"Households"	""	"2309"
"finnland"	"1997-10-01"	"Total"	"Residents"	"NPISHs"	""	"54"
"finnland"	"1997-10-01"	"Total"	"Non-residents"	""	""	"35142"
"finnland"	"1998-01-01"	"Total"	"Residents"	"Non-financial corporations"	""	"7890"
"finnland"	"1998-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1998-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"10516"
"finnland"	"1998-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"0"
"finnland"	"1998-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"5339"
"finnland"	"1998-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1522"
"finnland"	"1998-01-01"	"Total"	"Residents"	"General Government"	""	"19343"
"finnland"	"1998-01-01"	"Total"	"Residents"	"Households"	""	"2267"
"finnland"	"1998-01-01"	"Total"	"Residents"	"NPISHs"	""	"55"
"finnland"	"1998-01-01"	"Total"	"Non-residents"	""	""	"29262"
"finnland"	"1998-04-01"	"Total"	"Residents"	"Non-financial corporations"	""	"2242"
"finnland"	"1998-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1998-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"9710"
"finnland"	"1998-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"0"
"finnland"	"1998-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"5709"
"finnland"	"1998-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"3120"
"finnland"	"1998-04-01"	"Total"	"Residents"	"General Government"	""	"20053"
"finnland"	"1998-04-01"	"Total"	"Residents"	"Households"	""	"2224"
"finnland"	"1998-04-01"	"Total"	"Residents"	"NPISHs"	""	"56"
"finnland"	"1998-04-01"	"Total"	"Non-residents"	""	""	"34817"
"finnland"	"1998-07-01"	"Total"	"Residents"	"Non-financial corporations"	""	"3489"
"finnland"	"1998-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1998-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"10054"
"finnland"	"1998-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"0"
"finnland"	"1998-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6078"
"finnland"	"1998-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"3398"
"finnland"	"1998-07-01"	"Total"	"Residents"	"General Government"	""	"20832"
"finnland"	"1998-07-01"	"Total"	"Residents"	"Households"	""	"2182"
"finnland"	"1998-07-01"	"Total"	"Residents"	"NPISHs"	""	"55"
"finnland"	"1998-07-01"	"Total"	"Non-residents"	""	""	"33427"
"finnland"	"1998-10-01"	"Total"	"Residents"	"Non-financial corporations"	""	"3500"
"finnland"	"1998-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1998-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"9848"
"finnland"	"1998-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"0"
"finnland"	"1998-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6467"
"finnland"	"1998-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1942"
"finnland"	"1998-10-01"	"Total"	"Residents"	"General Government"	""	"22005"
"finnland"	"1998-10-01"	"Total"	"Residents"	"Households"	""	"2139"
"finnland"	"1998-10-01"	"Total"	"Residents"	"NPISHs"	""	"56"
"finnland"	"1998-10-01"	"Total"	"Non-residents"	""	""	"34844"
"finnland"	"1999-01-01"	"Total"	"Residents"	"Non-financial corporations"	""	"2547"
"finnland"	"1999-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1999-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"9612"
"finnland"	"1999-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"37"
"finnland"	"1999-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6411"
"finnland"	"1999-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1935"
"finnland"	"1999-01-01"	"Total"	"Residents"	"General Government"	""	"20285"
"finnland"	"1999-01-01"	"Total"	"Residents"	"Households"	""	"1445"
"finnland"	"1999-01-01"	"Total"	"Residents"	"NPISHs"	""	"56"
"finnland"	"1999-01-01"	"Total"	"Non-residents"	""	""	"36596"
"finnland"	"1999-04-01"	"Total"	"Residents"	"Non-financial corporations"	""	"2265"
"finnland"	"1999-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1999-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"9078"
"finnland"	"1999-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"51"
"finnland"	"1999-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6133"
"finnland"	"1999-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1871"
"finnland"	"1999-04-01"	"Total"	"Residents"	"General Government"	""	"20284"
"finnland"	"1999-04-01"	"Total"	"Residents"	"Households"	""	"1305"
"finnland"	"1999-04-01"	"Total"	"Residents"	"NPISHs"	""	"56"
"finnland"	"1999-04-01"	"Total"	"Non-residents"	""	""	"36953"
"finnland"	"1999-07-01"	"Total"	"Residents"	"Non-financial corporations"	""	"2021"
"finnland"	"1999-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1999-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"9032"
"finnland"	"1999-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"64"
"finnland"	"1999-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6045"
"finnland"	"1999-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1547"
"finnland"	"1999-07-01"	"Total"	"Residents"	"General Government"	""	"18405"
"finnland"	"1999-07-01"	"Total"	"Residents"	"Households"	""	"1084"
"finnland"	"1999-07-01"	"Total"	"Residents"	"NPISHs"	""	"55"
"finnland"	"1999-07-01"	"Total"	"Non-residents"	""	""	"36017"
"finnland"	"1999-10-01"	"Total"	"Residents"	"Non-financial corporations"	""	"2711"
"finnland"	"1999-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1999-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"7437"
"finnland"	"1999-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"77"
"finnland"	"1999-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"5842"
"finnland"	"1999-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1510"
"finnland"	"1999-10-01"	"Total"	"Residents"	"General Government"	""	"18068"
"finnland"	"1999-10-01"	"Total"	"Residents"	"Households"	""	"1438"
"finnland"	"1999-10-01"	"Total"	"Residents"	"NPISHs"	""	"50"
"finnland"	"1999-10-01"	"Total"	"Non-residents"	""	""	"36074"
"finnland"	"2000-01-01"	"Total"	"Residents"	"Non-financial corporations"	""	"2734"
"finnland"	"2000-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2000-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"7769"
"finnland"	"2000-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"155"
"finnland"	"2000-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6272"
"finnland"	"2000-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1316"
"finnland"	"2000-01-01"	"Total"	"Residents"	"General Government"	""	"16314"
"finnland"	"2000-01-01"	"Total"	"Residents"	"Households"	""	"1198"
"finnland"	"2000-01-01"	"Total"	"Residents"	"NPISHs"	""	"49"
"finnland"	"2000-01-01"	"Total"	"Non-residents"	""	""	"37144"
"finnland"	"2000-04-01"	"Total"	"Residents"	"Non-financial corporations"	""	"1988"
"finnland"	"2000-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2000-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"7073"
"finnland"	"2000-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"221"
"finnland"	"2000-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6258"
"finnland"	"2000-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"977"
"finnland"	"2000-04-01"	"Total"	"Residents"	"General Government"	""	"14439"
"finnland"	"2000-04-01"	"Total"	"Residents"	"Households"	""	"820"
"finnland"	"2000-04-01"	"Total"	"Residents"	"NPISHs"	""	"49"
"finnland"	"2000-04-01"	"Total"	"Non-residents"	""	""	"36968"
"finnland"	"2000-07-01"	"Total"	"Residents"	"Non-financial corporations"	""	"2125"
"finnland"	"2000-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2000-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"7149"
"finnland"	"2000-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"323"
"finnland"	"2000-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6251"
"finnland"	"2000-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"898"
"finnland"	"2000-07-01"	"Total"	"Residents"	"General Government"	""	"12707"
"finnland"	"2000-07-01"	"Total"	"Residents"	"Households"	""	"761"
"finnland"	"2000-07-01"	"Total"	"Residents"	"NPISHs"	""	"49"
"finnland"	"2000-07-01"	"Total"	"Non-residents"	""	""	"39048"
"finnland"	"2000-10-01"	"Total"	"Residents"	"Non-financial corporations"	""	"2604"
"finnland"	"2000-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2000-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"6476"
"finnland"	"2000-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"389"
"finnland"	"2000-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6417"
"finnland"	"2000-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1152"
"finnland"	"2000-10-01"	"Total"	"Residents"	"General Government"	""	"11535"
"finnland"	"2000-10-01"	"Total"	"Residents"	"Households"	""	"1098"
"finnland"	"2000-10-01"	"Total"	"Residents"	"NPISHs"	""	"54"
"finnland"	"2000-10-01"	"Total"	"Non-residents"	""	""	"38036"
"finnland"	"2001-01-01"	"Total"	"Residents"	"Non-financial corporations"	""	"2913"
"finnland"	"2001-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2001-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"6032"
"finnland"	"2001-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"431"
"finnland"	"2001-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6351"
"finnland"	"2001-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1088"
"finnland"	"2001-01-01"	"Total"	"Residents"	"General Government"	""	"10782"
"finnland"	"2001-01-01"	"Total"	"Residents"	"Households"	""	"1253"
"finnland"	"2001-01-01"	"Total"	"Residents"	"NPISHs"	""	"64"
"finnland"	"2001-01-01"	"Total"	"Non-residents"	""	""	"38078"
"finnland"	"2001-04-01"	"Total"	"Residents"	"Non-financial corporations"	""	"3083"
"finnland"	"2001-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2001-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"5252"
"finnland"	"2001-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"474"
"finnland"	"2001-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6304"
"finnland"	"2001-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1086"
"finnland"	"2001-04-01"	"Total"	"Residents"	"General Government"	""	"9916"
"finnland"	"2001-04-01"	"Total"	"Residents"	"Households"	""	"1408"
"finnland"	"2001-04-01"	"Total"	"Residents"	"NPISHs"	""	"74"
"finnland"	"2001-04-01"	"Total"	"Non-residents"	""	""	"36508"
"finnland"	"2001-07-01"	"Total"	"Residents"	"Non-financial corporations"	""	"2534"
"finnland"	"2001-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2001-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"4840"
"finnland"	"2001-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"545"
"finnland"	"2001-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"5975"
"finnland"	"2001-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1108"
"finnland"	"2001-07-01"	"Total"	"Residents"	"General Government"	""	"8958"
"finnland"	"2001-07-01"	"Total"	"Residents"	"Households"	""	"1163"
"finnland"	"2001-07-01"	"Total"	"Residents"	"NPISHs"	""	"83"
"finnland"	"2001-07-01"	"Total"	"Non-residents"	""	""	"39287"
"finnland"	"2001-10-01"	"Total"	"Residents"	"Non-financial corporations"	""	"2034"
"finnland"	"2001-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2001-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"5696"
"finnland"	"2001-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"510"
"finnland"	"2001-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"5510"
"finnland"	"2001-10-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1000"
"finnland"	"2001-10-01"	"Total"	"Residents"	"General Government"	""	"8338"
"finnland"	"2001-10-01"	"Total"	"Residents"	"Households"	""	"918"
"finnland"	"2001-10-01"	"Total"	"Residents"	"NPISHs"	""	"93"
"finnland"	"2001-10-01"	"Total"	"Non-residents"	""	""	"40291"
"finnland"	"2002-01-01"	"Total"	"Residents"	"Non-financial corporations"	""	"2390"
"finnland"	"2002-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2002-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"3184"
"finnland"	"2002-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"554"
"finnland"	"2002-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"3784"
"finnland"	"2002-01-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1037"
"finnland"	"2002-01-01"	"Total"	"Residents"	"General Government"	""	"7226"
"finnland"	"2002-01-01"	"Total"	"Residents"	"Households"	""	"1267"
"finnland"	"2002-01-01"	"Total"	"Residents"	"NPISHs"	""	"93"
"finnland"	"2002-01-01"	"Total"	"Non-residents"	""	""	"40670"
"finnland"	"2002-04-01"	"Total"	"Residents"	"Non-financial corporations"	""	"2204"
"finnland"	"2002-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2002-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Other MFIs"	"3007"
"finnland"	"2002-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Money market funds"	"547"
"finnland"	"2002-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"3390"
"finnland"	"2002-04-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Others"	"1086"
"finnland"	"2002-04-01"	"Total"	"Residents"	"General Government"	""	"6599"
"finnland"	"2002-04-01"	"Total"	"Residents"	"Households"	""	"1127"
"finnland"	"2002-04-01"	"Total"	"Residents"	"NPISHs"	""	"93"
"finnland"	"2002-04-01"	"Total"	"Non-residents"	""	""	"42360"
"finnland"	"2002-07-01"	"Total"	"Residents"	"Non-financial corporations"	""	"1673"
"finnland"	"2002-07-01"	"Total"	"Residents"	"Financial and insurance corporations"	"Central Bank"	"0"
